training_seed,behavior_step,target_step,overlap_band,gate_tolerance,estimate,online_reference,absolute_error,median_prompt_relative_ess,tokenwise_kl_proxy,gate_decision,gate_false_accept
20260827,0,300,low_overlap,0.02,0.14210537991363362,0.1378125,0.004292879913633613,0.13058310231981096,0.12025658829632783,accept,False
20260827,0,300,low_overlap,0.05,0.14210537991363362,0.1378125,0.004292879913633613,0.13058310231981096,0.12025658829632783,accept,False
20260827,0,260,low_overlap,0.01,0.14825948121782678,0.150875,0.002615518782173226,0.14038361280398332,0.1144812437158537,accept,False
20260827,0,260,low_overlap,0.02,0.14825948121782678,0.150875,0.002615518782173226,0.14038361280398332,0.1144812437158537,accept,False
20260827,0,260,low_overlap,0.05,0.14825948121782678,0.150875,0.002615518782173226,0.14038361280398332,0.1144812437158537,accept,False
20260827,0,180,low_overlap,0.01,0.1532550010943087,0.1675,0.014244998905691308,0.15709096203345246,0.0995491405152122,accept,True
20260827,0,180,low_overlap,0.02,0.1532550010943087,0.1675,0.014244998905691308,0.15709096203345246,0.0995491405152122,accept,False
20260827,0,180,low_overlap,0.05,0.1532550010943087,0.1675,0.014244998905691308,0.15709096203345246,0.0995491405152122,accept,False
20260827,0,120,medium_overlap,0.01,0.1502616538759225,0.16625,0.015988346124077513,0.1572861943836001,0.09217320342559876,accept,True
20260827,0,120,medium_overlap,0.02,0.1502616538759225,0.16625,0.015988346124077513,0.1572861943836001,0.09217320342559876,accept,False
20260827,0,120,medium_overlap,0.05,0.1502616538759225,0.16625,0.015988346124077513,0.1572861943836001,0.09217320342559876,accept,False
20260827,0,20,medium_overlap,0.01,0.14798377416789657,0.154875,0.0068912258321034425,0.20744856292932828,0.03587336699984858,accept,False
20260827,0,20,medium_overlap,0.02,0.14798377416789657,0.154875,0.0068912258321034425,0.20744856292932828,0.03587336699984858,accept,False
20260827,0,20,medium_overlap,0.05,0.14798377416789657,0.154875,0.0068912258321034425,0.20744856292932828,0.03587336699984858,accept,False
20260827,200,260,high_overlap,0.01,0.15295248652246346,0.150875,0.002077486522463451,0.9269765980891953,0.008786611132388837,accept,False
20260827,200,260,high_overlap,0.02,0.15295248652246346,0.150875,0.002077486522463451,0.9269765980891953,0.008786611132388837,accept,False
20260827,200,260,high_overlap,0.05,0.15295248652246346,0.150875,0.002077486522463451,0.9269765980891953,0.008786611132388837,accept,False
20260827,100,120,high_overlap,0.01,0.1679828149220371,0.16625,0.0017328149220370848,0.9919083207975365,0.0006745235006419387,accept,False
20260827,100,120,high_overlap,0.02,0.1679828149220371,0.16625,0.0017328149220370848,0.9919083207975365,0.0006745235006419387,accept,False
20260827,100,120,high_overlap,0.05,0.1679828149220371,0.16625,0.0017328149220370848,0.9919083207975365,0.0006745235006419387,accept,False
20260827,300,320,high_overlap,0.01,0.13410333131642307,0.135,0.0008966686835769344,0.997769111481974,0.00013066685339212052,accept,False
20260827,300,320,high_overlap,0.02,0.13410333131642307,0.135,0.0008966686835769344,0.997769111481974,0.00013066685339212052,accept,False
20260827,300,320,high_overlap,0.05,0.13410333131642307,0.135,0.0008966686835769344,0.997769111481974,0.00013066685339212052,accept,False
20260828,0,300,low_overlap,0.01,0.14786355023141498,0.14,0.007863550231414967,0.1281734991362688,0.12428728870570181,accept,False
20260828,0,300,low_overlap,0.02,0.14786355023141498,0.14,0.007863550231414967,0.1281734991362688,0.12428728870570181,accept,False
20260828,0,300,low_overlap,0.05,0.14786355023141498,0.14,0.007863550231414967,0.1281734991362688,0.12428728870570181,accept,False
20260828,0,260,low_overlap,0.01,0.1485554407435108,0.139875,0.008680440743510792,0.12511502650746775,0.13206039515753207,accept,False
20260828,0,260,low_overlap,0.02,0.1485554407435108,0.139875,0.008680440743510792,0.12511502650746775,0.13206039515753207,accept,False
20260828,0,260,low_overlap,0.05,0.1485554407435108,0.139875,0.008680440743510792,0.12511502650746775,0.13206039515753207,accept,False
20260828,0,180,low_overlap,0.01,0.14116638936724757,0.123375,0.01779138936724757,0.12913567452859692,0.120482471462907,accept,True
20260828,0,180,low_overlap,0.02,0.14116638936724757,0.123375,0.01779138936724757,0.12913567452859692,0.120482471462907,accept,False
20260828,0,180,low_overlap,0.05,0.14116638936724757,0.123375,0.01779138936724757,0.12913567452859692,0.120482471462907,accept,False
20260828,0,120,medium_overlap,0.01,0.14484878270592408,0.137,0.007848782705924068,0.14654763434806864,0.10209934146013436,accept,False
20260828,0,120,medium_overlap,0.02,0.14484878270592408,0.137,0.007848782705924068,0.14654763434806864,0.10209934146013436,accept,False
20260828,0,120,medium_overlap,0.05,0.14484878270592408,0.137,0.007848782705924068,0.14654763434806864,0.10209934146013436,accept,False
20260828,0,20,medium_overlap,0.01,0.15669750704184315,0.15475,0.001947507041843155,0.4021487033355342,0.011107441432976256,accept,False
20260828,0,20,medium_overlap,0.02,0.15669750704184315,0.15475,0.001947507041843155,0.4021487033355342,0.011107441432976256,accept,False
20260828,0,20,medium_overlap,0.05,0.15669750704184315,0.15475,0.001947507041843155,0.4021487033355342,0.011107441432976256,accept,False
20260828,200,260,high_overlap,0.01,0.1423332242250156,0.139875,0.0024582242250155983,0.9548709019722706,0.004987653063024584,accept,False
20260828,200,260,high_overlap,0.02,0.1423332242250156,0.139875,0.0024582242250155983,0.9548709019722706,0.004987653063024584,accept,False
20260828,200,260,high_overlap,0.05,0.1423332242250156,0.139875,0.0024582242250155983,0.9548709019722706,0.004987653063024584,accept,False
20260828,100,120,high_overlap,0.01,0.14154874871947187,0.137,0.004548748719471862,0.9881123258423343,0.001109714632299392,accept,False
20260828,100,120,high_overlap,0.02,0.14154874871947187,0.137,0.004548748719471862,0.9881123258423343,0.001109714632299392,accept,False
20260828,100,120,high_overlap,0.05,0.14154874871947187,0.137,0.004548748719471862,0.9881123258423343,0.001109714632299392,accept,False
20260828,300,320,high_overlap,0.01,0.14887380596237215,0.1555,0.006626194037627847,0.9813900103650363,0.0023076419297766737,accept,False
20260828,300,320,high_overlap,0.02,0.14887380596237215,0.1555,0.006626194037627847,0.9813900103650363,0.0023076419297766737,accept,False
20260828,300,320,high_overlap,0.05,0.14887380596237215,0.1555,0.006626194037627847,0.9813900103650363,0.0023076419297766737,accept,False
